75	14
79	25
100	7
113	15
126	336
256	17
346	14
899	103
1015	16
1134	26
1313	63
1605	742
1725	124
1759	55
1876	104
1887	75
2021	66
2140	3
2217	79
2405	21
2413	43
2442	13
2450	24
2475	214
2514	17
2675	31
2706	38
2763	24
2776	25
2859	25
3062	198
3069	420
3270	32
3289	15
3367	53
3486	13
3587	35
3709	174
3787	21
3993	7
3994	106
4005	108
4307	104
4328	72
4424	83
4473	12
4530	165
4672	14
4950	109
5016	166
5206	24
5240	9
5400	7
5889	20
6008	19
6237	303
6261	427
6314	115
6331	29
6462	133
6518	35
6692	18
6871	17
6892	131
7017	8
7088	91
7134	139
7165	30
7228	4
7313	65
7460	336
7775	4
7786	209
8079	26
8464	5
8526	2
8587	115
8612	86
8787	19
8837	40
8897	382
9120	10
9131	211
9149	100
9603	38
9676	17
9744	356
9770	1179
10005	16
10094	25
10271	40
10302	19
10455	457
10665	226
10757	206
10809	609
10846	178
11018	9
11057	20
11215	171
11300	6
11499	22
11928	33
12246	39
12269	15
12464	14
12485	51
12866	18
13076	22
13179	7
13256	11
13378	144
13469	11
13482	6
13500	16
13542	17
13569	7
13661	7
13663	32
13812	11
14036	20
14040	5
14043	5
14084	65
14101	101
14266	78
14292	78
14544	6
14792	206
14870	19
14900	7
14951	18
15023	9
15051	16
15149	15
15217	6
15308	80
15700	18
15743	66
16119	36
16203	18
16353	122
16468	48
16503	141
16527	32
16532	13
16583	7
16594	11
16692	9
16694	13
17120	149
17235	115
17497	16
17938	5
17981	80
18092	134
18448	11
18480	17
18722	233
18996	12
19017	11
19318	21
19381	184
19481	7
19804	7
19912	38
19981	77
20017	57
20243	8
20610	59
20655	7
20877	17
21077	19
21192	147
21260	13
21640	37
21761	7
21829	13
22003	6
22044	588
22224	12
22231	16
22255	47
22274	11
22725	33
22804	40
23035	18
23338	153
23374	202
23565	18
23673	157
23786	66
23984	39
24191	11
24329	15
24601	10
24710	13
24844	22
24882	4
24917	10
24941	10
24972	250
25092	6
25100	9
25114	326
25150	20
25219	5
25250	39
25429	19
25659	194
25664	10
26068	393
26179	7
26220	4
26405	23
26413	36
26425	16
26600	12
26686	6
26699	11
26765	5
26871	14
26882	15
26905	389
27011	3
27075	8
27142	23
27181	15
27343	53
27416	15
27526	888
27533	35
27658	8
27665	39
27703	11
27821	262
27852	41
28036	15
28045	37
28127	344
28175	14
28250	62
28262	11
28391	23
28657	3
28764	86
28790	9
28980	5
28981	10
28981	13
28996	37
29140	174
29230	17
29462	23
29599	274
29716	24
29867	5
29900	7
29905	4
29905	10
29991	2
30033	316
30065	16
30201	11
30356	5
30645	4
31249	22
31938	9
32096	31
32158	8
32269	58
32322	11
32435	350
32715	57
32726	49
32734	13
